LocationID,OrganisationCode,LocationNameEN,VenueTypeEN,AddressEN,Latitude,Longitude,SSID,NumberOfHotspots,MoreInformationEN,MoreInformationLinkEN,InWifiMap
1873,PCCW,Circle K,Convenience Stores,"Shop 355A, Level 2, Zone E, Tai Po Mega Mall, 9 On Pong Road, Tai Po",22.451519916,114.170404672,Wi-Fi.HK via CSL,1,,,False
1874,PCCW,Circle K,Convenience Stores,"Concession Oly 8, Olympic Station, Kowloon",22.31855,114.160055,Wi-Fi.HK via CSL,1,,,False
1875,PCCW,Circle K,Convenience Stores,"Shop 209, Level 2, Metro City Phase III, The Metropolis, Tsuen Kwan O",22.3223932358,114.25642848,Wi-Fi.HK via CSL,1,,,False
1878,PCCW,Circle K,Convenience Stores,"Shop 54, Comm Ctr, Tai Hing Estate, Tuen Mun, N.T.",22.4027314354,113.970301151,Wi-Fi.HK via CSL,1,,,False
1887,PCCW,Circle K,Convenience Stores,"G/F., Kam Pik Hse, Choi Hung Est, Kowloon Bay, Kowloon",22.3349723927,114.2054075,Wi-Fi.HK via CSL,1,,,False
1892,PCCW,Circle K,Convenience Stores,"Shop No.B04 G/F., Park Central, Tong Tak Street, Tseung Kwan O",22.30763128,114.2572942,Wi-Fi.HK via CSL,1,,,False
1894,PCCW,Circle K,Convenience Stores,"Shop 116, G/F., Yiu On Shopping Ctr, Yiu On Est, Ma On Shan, Shatin, N.T.",22.420173092,114.230496883,Wi-Fi.HK via CSL,1,,,False
1900,PCCW,Circle K,Convenience Stores,"Shop No.2 G/F., Tsz Ching Shopping Centre II, Tsz Ching Estate, Tsz Wan Shan, Kowloon",22.349557,114.202258,Wi-Fi.HK via CSL,1,,,False
1906,PCCW,Circle K,Convenience Stores,"Shop LG1, Lei Muk Shue Shopping Centre, Lei Muk Shue Estate, Tsuen Wan",22.3783530908,114.13636744,Wi-Fi.HK via CSL,1,,,False
1910,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Bus Terminus, Lee Yat House, Shun Lee Estate, Kwun Tong",22.331389125,114.22625125,Wi-Fi.HK via CSL,1,,,False
1911,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Bus Terminus, Block C, Cho Yiu Estate, Kwai Chung",22.345889909,114.12885076,Wi-Fi.HK via CSL,1,,,False
1914,PCCW,PCCW Phone Booth,Telephone Booths,"Julimount Garden, conjuction of Hin Tai Street / Hin Hong Street, Shatin",22.362893475,114.17688303,Wi-Fi.HK via CSL,1,,,False
1919,PCCW,PCCW Phone Booth,Telephone Booths,"Marina Cove Shopping Centre, Hiram's Highway, Sai Kung",22.355689948,114.25157805,Wi-Fi.HK via CSL,1,,,False
1922,PCCW,PCCW Phone Booth,Telephone Booths,"Pak Shek Wo Bus Stop, Clear Water Bay, Sai Kung",22.335863033,114.24205539,Wi-Fi.HK via CSL,1,,,False
1923,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Chun Fai Road, Moorsom Road, Jardine's Lookout, Happy Valley",22.272588558,114.19371942,Wi-Fi.HK via CSL,1,,,False
1926,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Po Yan House, Po Lam Estate, Tseung Kwan O",22.326304554,114.25253388,Wi-Fi.HK via CSL,1,,,False
1930,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Block 2 , Waterside Plaza, Wing Shun Street, Tsuen Wan",22.364107619,114.11357209,Wi-Fi.HK via CSL,1,,,False
1938,PCCW,PCCW Phone Booth,Telephone Booths,"Outside On Yat House, Shun On Estate, Kwun Tong",22.327812936,114.22674512,Wi-Fi.HK via CSL,1,,,False
19429,PCCW,Circle K,Convenience Stores,"Shop 30, Wah Fu (II) Commercial Complex, Wah Fu (II) Estate, Hong Kong",22.2530659767,114.136101901,Wi-Fi.HK via CSL,1,,,False
1949,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Entry Gate of Modern terminus Ltd, terminus 8, Kwai Chung",22.3210922397,114.128559421,Wi-Fi.HK via CSL,1,,,False
19552,PCCW,PCCW Phone Booth,Telephone Booths,"1009 Kwai Chung Road, Kwai Chung, New Territories",22.367498641,114.13346395,Wi-Fi.HK via CSL,1,,,False
1957,PCCW,PCCW Phone Booth,Telephone Booths,"Entrance of Pak Kong Village, Sai Kung",22.378921698,114.25905659,Wi-Fi.HK via CSL,1,,,False
1958,PCCW,PCCW Phone Booth,Telephone Booths,"Just Outside Po Lo Che Road / Hiram's Highway, Sai Kung",22.382666541,114.26458371,Wi-Fi.HK via CSL,1,,,False
1961,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tui Min Hoi Market, Hong Ki Neard, Sai Kung",22.375655278,114.27145389,Wi-Fi.HK via CSL,1,,,False
1969,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Holford Garden, 8 Mei Tin Road, Tai Wai",22.373242307,114.17703808,Wi-Fi.HK via CSL,1,,,False
1976,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Carado Garden, Tin Sam Street, Tai Wai",22.367652477,114.17631977,Wi-Fi.HK via CSL,1,,,False
1979,PCCW,PCCW Phone Booth,Telephone Booths,"Bus Stop (Near Administration Block), Tai Lam Tunnel, Pat Heung Road, Yuen Long",22.4204554,114.06336922,Wi-Fi.HK via CSL,1,,,False
1982,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Sewage Treatment Works, Siu Hong Road, Tuen Mun",22.41414931,113.9783926,Wi-Fi.HK via CSL,1,,,False
1984,PCCW,PCCW Phone Booth,Telephone Booths,"Opposite to Block A, Tai Po Garden, Mui Shui Hang Road, Tai Po",22.453844872,114.15377805,Wi-Fi.HK via CSL,1,,,False
1985,PCCW,PCCW Phone Booth,Telephone Booths,"Outside LRT Hang Mei Tsuen Station, Ping Ha Road, Tin Shui Wai",22.444956583,114.00580065,Wi-Fi.HK via CSL,1,,,False
1986,PCCW,PCCW Phone Booth,Telephone Booths,Outside LRT Tong Fong Tsuen Station,22.440334673,114.00727327,Wi-Fi.HK via CSL,1,,,False
1993,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Eldo Shopping Centre, Tuen Mun Heung Sze Wui Road, Tuen Mun",22.398089356,113.97517238,Wi-Fi.HK via CSL,1,,,False
2011,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lei Yue Mun Public Library, Near Taxi Stand, Kwun Tong",22.292337731,114.23805791,Wi-Fi.HK via CSL,1,,,False
2018,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lee On Road Playground, Fire Station, Kwun Tong",22.331191316,114.22305775,Wi-Fi.HK via CSL,1,,,False
2026,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Indian Club, Caroline Hill Road, Causeway Bay",22.274593677,114.18796597,Wi-Fi.HK via CSL,1,,,False
2031,PCCW,PCCW Phone Booth,Telephone Booths,"Turtle Cove Beach, Repulse Bay",22.233463356,114.22326133,Wi-Fi.HK via CSL,1,,,False
2032,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Tseuk Kiu Street / Tat Chee Avenue, Kowloon Tong, Shum Shui Po District, Kowloon",22.331657229,114.17543767,Wi-Fi.HK via CSL,1,,,False
2033,PCCW,PCCW Phone Booth,Telephone Booths,"Cherry Street, Tai Kok Tsui",22.3175069571,114.157047588,Wi-Fi.HK via CSL,1,,,False
2041,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of  Tsui Lam Road / Po Lam Road North, Tseung Kwan O",22.322603188,114.24996963,Wi-Fi.HK via CSL,1,,,False
2043,PCCW,PCCW Phone Booth,Telephone Booths,"Castle Peak Road-Kwai Chung, Gas Station, Ha Kwai Chung",22.351625491,114.13296478,Wi-Fi.HK via CSL,1,,,False
2058,PCCW,PCCW Phone Booth,Telephone Booths,"Outside University MTR Station, Chak Cheung Street, Ma On Shan",22.412801683,114.21049533,Wi-Fi.HK via CSL,1,,,False
2083,PCCW,PCCW Phone Booth,Telephone Booths,Outside Sheung Shui Wai Tsuen Community Centre,22.509472355,114.12349283,Wi-Fi.HK via CSL,1,,,False
2089,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Franki Centre, 320 Junction Road, Kowloon Tong",22.339224823,114.18097039,Wi-Fi.HK via CSL,1,,,False
2108,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Winslow Street / Gillies Avenue, To Kwa Wan",22.306173386,114.18359069,Wi-Fi.HK via CSL,1,,,False
2112,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Bus Terminus, Kowloon City Ferry Pier, Kowloon City",22.317777024,114.19393704,Wi-Fi.HK via CSL,1,,,False
2125,PCCW,PCCW Phone Booth,Telephone Booths,"Near Carpark Building, Yan Ming Court, Tseung Kwan O",22.325010254,114.25892951,Wi-Fi.HK via CSL,1,,,False
2149,PCCW,PCCW Phone Booth,Telephone Booths,Outside 464 Prince Edward Road West/Tak Ku Ling Road,22.328252513,114.19148231,Wi-Fi.HK via CSL,1,,,False
2151,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Bus Stop, Wong Tung House, Tung Lung Road, Kowloon City",22.334068012,114.19290963,Wi-Fi.HK via CSL,1,,,False
2155,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Wah Shun Garden, 898 King's Road, Quarry Bay, Hong Kong",22.287260988,114.2101293,Wi-Fi.HK via CSL,1,,,False
2157,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tai Tan Country Park, Visitor Centre, Pak Tam Road, Sai Kung",22.436986986,114.33438087,Wi-Fi.HK via CSL,1,,,False
2158,PCCW,PCCW Phone Booth,Telephone Booths,"Conjuction of Tsuen Fu Street / Tsuen Wah Street, Tsuen Wan",22.374276913,114.11621788,Wi-Fi.HK via CSL,1,,,False
2163,PCCW,PCCW Phone Booth,Telephone Booths,"Bus Terminus, Kwai Shing West Estate, Kwai Chung",22.36116697,114.12191316,Wi-Fi.HK via CSL,1,,,False
2165,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Caritas Clinic, Chung On Street, Yeung Uk Road, Tsuen Wan",22.368072889,114.11584209,Wi-Fi.HK via CSL,1,,,False
2169,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Kwai Ching House, Kwai Fong Estate, Kwai Chung",22.358205673,114.12378812,Wi-Fi.HK via CSL,1,,,False
2174,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Hong Ning Road / ShunYan Street, Kwun Tong",22.316029081,114.22354819,Wi-Fi.HK via CSL,1,,,False
2184,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tsui On House, Tsui Ping Estate, Kwun Tong",22.314736086,114.22940012,Wi-Fi.HK via CSL,1,,,False
2191,PCCW,PCCW Phone Booth,Telephone Booths,"Kwun Tong Ferry Pier, Kwun Tong",22.307387442,114.22158519,Wi-Fi.HK via CSL,1,,,False
2192,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Kwun Tong Road / Lai Yip Street, Kwun Tong",22.314504266,114.21813215,Wi-Fi.HK via CSL,1,,,False
2205,PCCW,PCCW Phone Booth,Telephone Booths,"Conjuction of Tung Chau Street / Cheung Sha Wan Road, Shum Shui Po",22.336954561,114.14672447,Wi-Fi.HK via CSL,1,,,False
2208,PCCW,PCCW Phone Booth,Telephone Booths,"Outside HK Bank, 777 Cheung Sha Wan Road, Cheung Sha Wan",22.337975756,114.15050994,Wi-Fi.HK via CSL,1,,,False
2209,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lai Chi Kok Training Centre, Lai Wan Road, Lai Chi Kok",22.339688857,114.13859898,Wi-Fi.HK via CSL,1,,,False
2211,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Wo Hing Building, 27B Hing Wah Street, Shum Shui Po",22.339547882,114.1553146,Wi-Fi.HK via CSL,1,,,False
2219,PCCW,PCCW Phone Booth,Telephone Booths,"Bus Terminus, Kam Ying Court, Ma On Shan",22.423197606,114.23702339,Wi-Fi.HK via CSL,1,,,False
2220,PCCW,PCCW Phone Booth,Telephone Booths,"Bus Terminus, Heng On Estate, Ma On Shan",22.418071163,114.22831891,Wi-Fi.HK via CSL,1,,,False
2221,PCCW,PCCW Phone Booth,Telephone Booths,"Near Main Entrance, Wu Kai Sha YMCA Youth Village, On Chun Street, Ma On Shan",22.4270817758,114.233664196,Wi-Fi.HK via CSL,1,,,False
2228,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Chung On Shopping Centre, Chung On Street, Ma On Shan",22.422733,114.226687,Wi-Fi.HK via CSL,1,,,False
2233,PCCW,PCCW Phone Booth,Telephone Booths,"Outside City Garden, City Garden Road, North Point",22.290243169,114.19362398,Wi-Fi.HK via CSL,1,,,False
2235,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Choi Yuet House, Choi Ha Estate, Ngau Tau Kok",22.32639746,114.21768881,Wi-Fi.HK via CSL,1,,,False
2241,PCCW,PCCW Phone Booth,Telephone Booths,"Bus terminus, Lok Wah (North) Estate, Kwun Tong",22.320906238,114.22072528,Wi-Fi.HK via CSL,1,,,False
2247,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Wo Hop Shek Carpark, Ming Yin Road, Fanling",22.481421955,114.14652383,Wi-Fi.HK via CSL,1,,,False
2257,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Block 17, Parc Oasis Tat Chee Avenue, Kowloon Tong",22.3353868,114.17551518,Wi-Fi.HK via CSL,1,,,False
22600,LTKFWA,Lam Tin Kai Fong Welfare Association Neighbourhood Elderly Centre,Welfare Service Units,"Unit No 1-3, G/F, Kwong Yat House, Kwong Tin Estate, Lam Tin, Kowloon",22.302833,114.240806,WI-FI.HK VIA LTKFWA,2,,,False
2261,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Shek Kip Mei Community Hall, Nam Cheong Street, Shek Kip Mei",22.33226,114.16593,Wi-Fi.HK via CSL,1,,,False
2263,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Wah Chak House, Chak On Estate, Shum Shui Po",22.340551422,114.16417704,Wi-Fi.HK via CSL,1,,,False
2264,PCCW,PCCW Phone Booth,Telephone Booths,"Opposite to Shek Kip Mei Police Station, Shek Kip Mei",22.333499097,114.16910886,Wi-Fi.HK via CSL,1,,,False
2278,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Shun Tak Centre, Connaught Road Central, Sheung Wan",22.287721454,114.15138446,Wi-Fi.HK via CSL,1,,,False
2290,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Anchor Street Park /  Oak Street, Tai Kok Tsui",22.319627892,114.16401455,Wi-Fi.HK via CSL,1,,,False
2298,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of Wong Chuk Street / Cheung Sha Wan Road, Sham Shui Po",22.328179855,114.16537239,Wi-Fi.HK via CSL,1,,,False
2304,PCCW,PCCW Phone Booth,Telephone Booths,"Conjunction of 3 Arran Street / Shanghai Street, Mong Kok",22.322689511,114.1671686,Wi-Fi.HK via CSL,1,,,False
2305,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Chow Clansmen Ass School, 16 Sycamore Street, Tai Kok Tsui",22.324495329,114.16429543,Wi-Fi.HK via CSL,1,,,False
23090,PCCW,Discovery Bay Recreation Club,Entertainment & Leisure,"Near VIP Room, Chinese Restaurant, 1/F, Discovery Bay Recreation Club, Discovery Bay, Lantau Island",22.2960257002,114.015836312,Wi-Fi.HK via CSL,1,,,False
2314,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Kam Shan Building, Tai Wai Road, Tai Wai",22.374560785,114.17962077,Wi-Fi.HK via CSL,1,,,False
2315,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tai Wai Market, Mei Tin Rpad, Tai Wai",22.376908582,114.17506691,Wi-Fi.HK via CSL,1,,,False
2317,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lui Ming Choi Secondary School, Yuen Wo Road, Shatin",22.383988084,114.19269054,Wi-Fi.HK via CSL,1,,,False
23212,PCCW,Discovery Bay Club Siena,Entertainment & Leisure,"Sundeck Fitness Centre, 1/F, Club Siena, Siena Ave, Discovery Bay, Lantau Island",22.3049520052,114.015032,Wi-Fi.HK via CSL,1,,,False
2329,PCCW,PCCW Phone Booth,Telephone Booths,"Petrol Stn, Lam Kam Road, Kam Sheung Road, Pat Heung, Yuen Long",22.431758496,114.10348601,Wi-Fi.HK via CSL,1,,,False
2341,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tung Chi Hse, TungYuk Centre, Oi Kan Road Bus Terminus, Shau Kei Wan",22.282768784,114.22752611,Wi-Fi.HK via CSL,1,,,False
2343,PCCW,PCCW Phone Booth,Telephone Booths,"Lido Beach Near Public Beach House, Sham Tseng",22.372094678,114.07165311,Wi-Fi.HK via CSL,1,,,False
2350,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lei Cheng Uk Arcade, Po On Road, Cheung Sha Wan",22.338518851,114.1582366,Wi-Fi.HK via CSL,1,,,False
2351,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Lai Ho House, Lai Kok Estate, Cheung Sha Wan Road",22.333976499,114.1578976,Wi-Fi.HK via CSL,1,,,False
2365,PCCW,PCCW Phone Booth,Telephone Booths,"Yeung Siu Hang Garden, Tsing Wun Road, Tuen Mun",22.393924817,113.96701173,Wi-Fi.HK via CSL,1,,,False
2378,PCCW,PCCW Phone Booth,Telephone Booths,"LRT Ngan Wai Station, Affluence Garden, Tuen Mun",22.402585688,113.97457336,Wi-Fi.HK via CSL,1,,,False
2379,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Leung Chi House Leung King Estate, Tuen Mun",22.405405635,113.96272105,Wi-Fi.HK via CSL,1,,,False
2384,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Tsing Shan Tsuen, Yeung Tsing Road, Tuen Mun",22.390564593,113.96629829,Wi-Fi.HK via CSL,1,,,False
2394,PCCW,PCCW Phone Booth,Telephone Booths,"Outside Block B, Beautiful Garden, Chui Lok Street, Tai Po",22.454397188,114.16464908,Wi-Fi.HK via CSL,1,,,False
24021,PCCW,Discovery Bay Golf Club,Entertainment & Leisure,"Driving Range, Discovery Bay Golf Club, Discovery Valley Road, Lantau Island",22.2873842357,114.006422109,Wi-Fi.HK via CSL,1,,,False
